noise_level,model,feature,importance
med,xgb,mouth_width_px_std,0.045400649309158325
med,xgb,mouth_width_px_p95,0.054510604590177536
med,xgb,jaw_left_y_px_mean,0.058820996433496475
med,xgb,jaw_left_y_px_std,0.04160862788558006
med,xgb,jaw_left_y_px_p95,0.060018084943294525
med,xgb,jaw_right_y_px_mean,0.06261632591485977
med,xgb,jaw_right_y_px_std,0.04015761613845825
med,xgb,jaw_right_y_px_p95,0.058567218482494354
med,xgb,mouth_open_smooth_mean,0.03612695634365082
med,xgb,mouth_open_smooth_std,0.0620170533657074
med,xgb,mouth_open_smooth_p95,0.0492955818772316
med,xgb,jaw_lr_delta_abs_mean,0.048661086708307266
med,xgb,pause_ratio,0.06433024257421494
med,xgb,window_duration_sec,0.0694727748632431
med,xgb,window_frame_count,0.0526793971657753
high,logreg,mouth_open_px_mean,0.016363540572776128
high,logreg,mouth_open_px_std,0.18550375386609438
high,logreg,mouth_open_px_p95,0.08651733361051799
high,logreg,mouth_width_px_mean,0.3163291689386853
high,logreg,mouth_width_px_std,0.04180152879812148
high,logreg,mouth_width_px_p95,0.5011172942529093
high,logreg,jaw_left_y_px_mean,0.28291988218645586
high,logreg,jaw_left_y_px_std,0.0541884882627429
high,logreg,jaw_left_y_px_p95,0.11184247375842972
high,logreg,jaw_right_y_px_mean,0.16998933750138145
high,logreg,jaw_right_y_px_std,0.011432921874008363
high,logreg,jaw_right_y_px_p95,0.21672675178107123
high,logreg,mouth_open_smooth_mean,0.05828416592692243
high,logreg,mouth_open_smooth_std,0.170327845961729
high,logreg,mouth_open_smooth_p95,0.07428141002810802
high,logreg,jaw_lr_delta_abs_mean,0.12645914841214043
high,logreg,pause_ratio,0.17801920405218832
high,logreg,window_duration_sec,0.1979873783857561
high,logreg,window_frame_count,0.1352191233178688
high,rf,mouth_open_px_mean,0.033966217328290596
high,rf,mouth_open_px_std,0.04273695426567015
high,rf,mouth_open_px_p95,0.034462755558436704
high,rf,mouth_width_px_mean,0.06339690946699206
high,rf,mouth_width_px_std,0.05695060688872369
high,rf,mouth_width_px_p95,0.06350441645144105
high,rf,jaw_left_y_px_mean,0.06678456046146518
high,rf,jaw_left_y_px_std,0.05305657247226749
high,rf,jaw_left_y_px_p95,0.06394007146993483
high,rf,jaw_right_y_px_mean,0.06682133882752743
high,rf,jaw_right_y_px_std,0.051865197055544134
high,rf,jaw_right_y_px_p95,0.06529130255046812
high,rf,mouth_open_smooth_mean,0.03934246017848906
high,rf,mouth_open_smooth_std,0.044180809458560365
high,rf,mouth_open_smooth_p95,0.034525280108132855
high,rf,jaw_lr_delta_abs_mean,0.045278858462984954
high,rf,pause_ratio,0.05697923783055014
high,rf,window_duration_sec,0.06264427174323035
high,rf,window_frame_count,0.05427217942129092
high,xgb,mouth_open_px_mean,0.035868965089321136
high,xgb,mouth_open_px_std,0.05097365751862526
high,xgb,mouth_open_px_p95,0.0376557856798172
high,xgb,mouth_width_px_mean,0.0592154860496521
high,xgb,mouth_width_px_std,0.04824252426624298
high,xgb,mouth_width_px_p95,0.057262975722551346
high,xgb,jaw_left_y_px_mean,0.06178036332130432
high,xgb,jaw_left_y_px_std,0.04323635995388031
high,xgb,jaw_left_y_px_p95,0.06336770206689835
high,xgb,jaw_right_y_px_mean,0.06789993494749069
high,xgb,jaw_right_y_px_std,0.041808418929576874
high,xgb,jaw_right_y_px_p95,0.06132426857948303
high,xgb,mouth_open_smooth_mean,0.0382988378405571
high,xgb,mouth_open_smooth_std,0.05593770742416382
high,xgb,mouth_open_smooth_p95,0.04220278561115265
high,xgb,jaw_lr_delta_abs_mean,0.04478921368718147
high,xgb,pause_ratio,0.05919754132628441
high,xgb,window_duration_sec,0.07466521859169006
high,xgb,window_frame_count,0.05627213791012764
